Left,Right
1122,121
1585,18
466,103
444,12
522,88
1301,46
836,72
1169,108
1013,55
979,43
771,66
1350,124
1261,18
385,130
772,57
544,98
751,89
1150,119
1247,11
1403,123
182,78
1495,132
573,2
1388,44
550,67
1533,31
1084,121
1121,102
1602,18
1623,91
495,82
173,70
1134,105
884,51
154,35
170,65
620,145
589,80
356,53
1557,73
786,48
358,66
529,10
925,73
1503,4
620,71
697,104
1080,42
1267,132
639,52
1585,45
1642,137
1252,92
1018,139
1246,85
396,90
773,14
977,143
521,85
221,45
1094,83
750,102
1635,30
208,133
767,9
937,145
993,104
1166,98
1520,147
1627,47
939,18
399,110
1307,68
1196,82
1074,55
391,41
960,68
1454,21
1121,16
1461,98
1414,75
1487,147
1273,32
1109,115
1514,26
515,37
409,8
402,90
524,129
657,86
841,83
719,128
1100,105
743,90
1257,32
1222,79
1181,34
1018,29
803,92
1601,71
1302,139
1122,143
231,89
1382,32
1053,128
1242,133
631,16
1236,122
1639,28
1241,100
692,134
1048,54
946,4
962,102
494,70
1538,9
1112,39
596,89
1392,128
923,95
1012,65
1471,77
367,113
795,80
1158,95
1619,88
1124,15
1602,102
1243,73
633,56
524,142
862,42
796,148
549,52
955,53
758,3
1231,39
1251,85
1162,54
469,55
1192,13
451,54
643,143
184,18
1395,4
1519,84
1273,139
617,36
617,119
1564,48
1554,144
232,27
685,37
949,72
1049,67
1632,114
850,6
425,60
383,113
691,98
1057,124
919,45
283,2
512,7
1278,83
1538,121
804,116
1324,59
1278,130
591,52
876,82
863,95
1074,126
1618,98
715,64
366,131
357,149
260,62
1021,128
824,35
856,30
1278,145
594,94
353,135
1002,56
170,6
744,69
298,110
1500,130
1355,87
744,14
827,120
1567,88
1321,135
636,90
1252,35
1436,75
762,46
431,130
1270,12
1338,15
1568,120
1329,105
850,76
819,38
478,68
776,123
726,29
992,39
962,118
822,40
307,66
1357,86
1126,68
713,6
629,38
274,111
1609,93
1557,140
155,100
1308,64
1131,125
606,107
1343,50
688,55
1356,137
1435,4
1282,9
1069,106
322,47
179,29
1185,114
1546,98
1322,129
959,123
615,49
1246,63
833,7
1414,114
1442,12
417,29
1148,141
1412,53
979,112
159,90
1133,41
1529,51
934,85
318,112
1308,46
886,11
252,67
217,6
530,117
575,28
784,60
332,131
478,107
621,101
1377,80
1222,74
533,35
1389,49
1481,105
882,63
1353,147
1006,33
173,46
1311,127
1068,99
1344,31
1628,56
522,7
1207,50
1407,63
1493,32
860,82
1308,39
1247,77
1218,19
1148,82
1428,52
543,53
675,10
858,127
1533,1
703,101
354,32
1124,28
1065,85
1409,134
1594,38
746,130
284,30
755,106
710,127
1635,66
770,18
187,93
1124,74
368,29
824,134
1448,15
1560,78
1474,80
1064,44
1124,97
1041,109
1052,110
1205,80
1009,100
1334,10
737,11
385,102
1448,16
1440,105
1252,118
1248,147
1387,128
1348,126
1235,131
429,59
176,121
893,107
268,126
527,123
989,124
660,93
1251,96
370,46
874,127
1618,22
414,41
532,48
1596,132
1532,73
547,37
1164,83
729,30
333,65
1302,83
1441,115
454,54
933,87
570,46
1121,45
934,125
530,10
1104,29
1567,139
781,44
1222,66
1399,28
1442,92
160,92
774,40
575,91
607,41
745,23
1442,71
1088,57
1344,116
842,37
883,119
1210,144
673,143
1106,94
905,76
392,4
492,99
1326,131
1398,93
1364,23
213,11
440,125
1338,34
582,97
1244,144
461,46
984,126
1276,82
337,45
901,143
1416,35
225,120
1032,52
892,48
165,125
881,114
692,36
1095,69
1309,35
1629,34
1136,23
1074,79
464,46
1056,84
734,136
734,111
447,50
621,137
1419,78
579,125
1572,75
327,138
1244,67
784,132
277,143
211,135
1629,130
938,60
654,143
1334,100
1599,112
1140,86
162,63
767,94
1051,40
288,104
953,121
1638,7
154,133
1171,82
890,24
1154,96
1208,121
228,96
1378,85
696,11
761,142
822,12
1327,23
629,67
927,38
1235,61
780,69
770,21
1061,58
1615,56
1110,10
353,105
849,78
281,29
979,59
1253,71
302,130
435,138
440,27
815,114
1126,147
1458,81
942,9
1000,82
562,5
178,132
1506,22
299,135
461,98
1243,86
1395,55
952,71
922,52
1633,39
495,123
964,83
413,24
766,124
548,50
559,110
799,20
992,124
742,123
479,12
914,114
470,119
1507,63
861,145
449,26
795,40
1151,66
1527,40
467,23
1037,95
855,118
1388,3
1296,82
1315,8
637,118
1348,128
861,57
1200,114
601,74
750,61
628,132
1189,102
1147,4
1522,51
1636,17
490,131
169,101
258,49
369,17
1158,116
1443,114
1392,95
274,108
1228,81
1138,132
921,27
1435,69
1494,7
1057,128
454,45
397,109
1639,104
430,131
699,53
521,113
1203,136
432,34
524,86
693,9
810,8
258,121
228,137
1547,72
287,121
986,4
510,108
527,36
179,22
614,47
325,95
558,37
1468,32
814,58
544,16
1622,45
1555,23
1254,144
727,26
382,67
1405,57
403,86
1481,38
917,126
1555,112
765,148
236,41
177,89
649,1
531,123
386,29
166,30
745,50
371,44
717,25
1280,59
1425,99
1265,3
850,119
234,60
873,63
1301,4
662,77
1324,30
225,43
493,44
1635,8
1187,59
1624,125
983,91
779,99
418,106
410,36
1102,126
1299,38
885,31
1113,120
328,6
1424,98
1509,31
997,21
865,11
905,86
496,141
1055,27
1337,73
1183,32
205,139
1428,135
1503,119
865,74
1637,6
295,41
464,73
1135,88
1613,145
1142,133
1147,118
1167,141
329,18
748,117
403,46
1228,59
1499,86
298,107
1515,89
1389,14
1474,8
1171,15
1018,145
602,69
1138,107
931,118
1109,64
821,43
1609,82
248,98
487,65
1303,66
1199,125
1206,99
1214,2
884,65
281,123
1499,125
1009,86
780,102
847,108
1377,61
1522,119
546,7
934,5
745,107
1335,106
638,84
1284,126
1090,88
753,125
410,149
1339,73
1068,21
1450,99
1344,59
796,10
1539,73
1412,23
778,33
607,113
1127,145
1210,48
1257,126
845,87
971,20
1429,68
1439,9
558,51
312,142
1590,36
746,75
895,59
506,19
980,139
797,131
938,46
560,35
288,22
1550,53
1477,30
714,133
468,86
1527,5
882,146
1095,46
246,69
1212,54
1087,94
1482,101
1534,84
732,134
969,44
684,41
1071,15
896,39
691,92
1121,82
386,59
594,136
1446,4
1403,77
1372,96
252,109
1592,132
271,123
1412,87
319,109
285,1
659,112
262,42
311,66
1228,80
1161,22
1204,72
564,131
1444,97
1166,24
1115,102
1531,29
873,71
1419,55
1144,30
738,112
508,93
1395,123
495,131
1079,55
955,29
728,74
867,67
544,19
1000,135
1288,105
815,34
252,101
869,42
1047,54
1127,139
795,70
1568,71
964,8
651,6
1265,114
577,127
1339,132
596,117
562,2
674,74
1155,30
914,62
1006,39
416,53
1469,3
1452,16
876,49
1487,9
862,63
1578,80
335,59
199,38
1247,3
528,25
569,139
604,74
1288,146
906,34
1057,20
658,63
1230,113
1607,34
1077,148
330,108
1538,122
370,59
1027,53
1496,52
861,110
826,119
727,30
1493,133
387,101
1323,102
1344,58
189,81
1507,50
432,121
1195,44
1123,98
897,92
1166,101
1545,26
1550,139
745,73
368,132
269,39
1311,82
406,89
1305,94
389,84
1609,57
1413,134
1115,26
701,100
663,15
1308,19
1179,149
994,58
510,140
1625,129
388,131
295,120
658,41
276,79
889,125
319,48
819,3
538,87
1524,90
1415,114
877,56
1266,2
251,49
220,111
779,70
508,65
213,16
1005,118
218,32
900,107
1472,81
1375,81
1254,29
444,115
1378,38
1269,6
840,25
641,45
1349,88
164,102
1459,132
744,127
1341,141
162,39
1293,73
254,97
157,38
742,65
1212,60
402,66
247,88
1267,148
180,137
1394,84
920,147
297,108
1531,24
956,84
1569,81
498,30
1506,59
248,92
362,4
664,1
993,127
950,118
1031,87
587,6
731,95
775,15
411,48
760,13
342,25
309,147
1334,135
538,23
1450,96
489,45
170,96
448,50
1591,19
1583,40
1064,126
1080,81
256,4
1265,66
316,101
520,48
1176,34
445,137
726,21
1216,31
799,8
790,5
1015,29
402,46
775,32
1316,86
637,5
191,71
1084,108
414,118
171,29
921,124
336,67
1387,36
1348,21
550,103
169,136
372,84
152,146
559,130
280,146
1470,51
1374,4
271,48
1049,133
1573,20
743,73
221,101
996,116
1571,69
1282,124
571,148
1200,71
564,47
1397,46
1526,84
232,127
1259,137
153,86
1349,143
1200,91
1240,42
480,118
696,93
215,116
701,23
533,148
1240,60
341,72
613,44
1199,2
1607,26
287,110
1495,105
574,148
216,30
1427,82
1503,18
476,149
1316,53
499,123
919,49
475,39
244,103
435,49
1057,130
335,116
355,136
192,16
315,31
536,19
1126,100
1061,75
945,53
505,116
206,41
317,45
743,54
757,128
367,36
376,120
882,144
932,20
867,43
746,94
966,19
191,142
647,111
296,8
933,28
567,56
627,84
1348,73
698,24
810,11
202,27
1503,101
839,7
1630,149
1490,87
1165,26
834,57
1630,16
961,141
407,22
655,35
1074,76
336,76
825,146
730,70
1325,37
1265,65
1295,27
1132,66
300,44
1634,93
377,86
1495,105
509,79
303,21
1548,119
1624,113
1041,46
929,48
206,143
565,72
949,48
1452,114
782,145
153,50
1037,107
421,144
1491,76
850,113
1569,78
1099,56
1031,78
1637,97
378,79
332,146
1226,86
1278,97
1237,9
1366,80
1549,101
1482,114
1346,146
852,40
751,13
1300,77
160,133
883,87
701,118
926,145
946,23
1118,135
1205,82
226,51
1405,35
1274,45
898,7
1439,88
382,86
209,149
1290,106
460,47
185,99
1312,113
1141,94
978,128
565,93
1509,84
1239,111
1285,1
1061,145
181,48
313,141
919,48
873,70
557,38
904,73
441,148
365,60
355,43
662,72
1436,72
337,7
353,39
273,23
759,58
223,110
335,43
1417,6
1511,16
1617,76
714,114
369,54
1061,72
776,74
158,75
502,141
1056,7
1269,126
406,146
1439,84
301,70
315,91
1362,126
1417,56
161,92
1363,21
1614,19
1158,24
515,136
713,66
1194,42
294,40
1638,29
549,114
628,61
153,56
325,81
465,44
351,116
1017,47
336,116
1171,145
821,14
826,42
936,37
1468,13
1446,51
605,104
847,94
769,67
911,46
462,96
504,7
559,101
656,148
912,24
281,39
267,39
300,23
1128,86
738,54
1013,149
1261,144
279,132
258,21
1180,4
524,58
1197,32
1307,34
390,86
865,145
1256,48
268,123
1003,119
931,143
1410,73
302,79
659,108
571,106
1155,82
367,95
257,8
1074,26
1602,147
1274,50
1281,135
982,31
233,80
655,7
1513,147
269,6
1328,70
987,25
747,26
908,90
1573,25
1001,41
827,139
1569,120
447,132
897,145
1362,96
1101,79
1168,85
741,40
328,128
363,76
199,77
1561,82
618,136
1034,20
1096,101
618,9
807,147
1171,34
914,39
495,39
409,6
868,117
1142,144
1016,56
1529,79
458,102
1552,130
1097,21
867,138
1072,63
705,47
745,144
1372,128
285,98
163,48
392,130
1087,148
783,19
1116,24
1130,44
502,107
1053,110
1022,42
972,125
1401,71
536,102
1619,96
984,114
757,24
794,25
285,102
1387,60
806,81
199,81
445,19
797,36
1150,133
1259,94
678,31
596,99
486,72
1635,9
927,63
535,23
771,93
1422,22
542,64
176,26
1634,108
1403,125
736,58
527,46
390,43
722,89
374,4
322,76
553,79
1545,89
340,32
636,45
1314,129
1005,131
1207,89
1268,16
765,65
1550,5
738,108
412,101
856,40
559,139
688,134
1235,110
693,2
290,121
163,108
235,114
948,56
218,43
630,50
886,103
381,20
1333,32
1194,10
1630,72
1182,9
972,94
