Left,Right
138,660
85,1376
55,1391
110,991
59,886
52,320
101,403
143,1150
113,1007
114,603
109,849
128,1374
17,615
127,1044
43,478
21,1637
37,1148
121,346
6,1337
25,443
66,779
7,292
87,163
94,920
44,823
5,242
6,887
84,1638
139,519
73,1619
40,567
6,834
114,226
117,816
12,1294
113,1408
1,1385
90,1275
112,924
141,191
96,225
53,715
76,491
6,1377
97,1211
63,1079
117,1285
95,1007
94,1080
53,1346
88,228
63,1410
111,1209
79,188
38,957
2,985
37,943
22,828
88,648
20,635
79,459
86,1267
139,1229
51,1216
37,335
112,264
73,1518
80,1018
74,679
116,1194
49,208
28,280
47,1435
131,1409
60,216
41,440
26,1582
70,739
26,401
78,723
124,1090
50,641
96,867
145,1155
102,546
15,1099
138,1441
10,650
112,1520
144,210
137,1139
39,1385
16,1333
73,276
148,192
70,334
81,152
138,555
6,614
40,261
86,412
135,1448
121,987
74,338
12,828
54,532
82,1132
15,1609
12,1551
15,908
108,1178
92,209
18,1642
10,850
131,1438
52,882
71,1417
47,503
114,202
78,1375
123,1099
75,1099
87,756
92,599
71,1355
17,1488
126,1408
43,299
19,533
62,389
87,632
53,808
11,1326
32,1013
84,630
132,1400
127,1078
73,954
68,667
97,349
51,1108
29,700
122,1324
18,1301
24,492
81,740
131,1020
117,495
89,713
43,1114
21,676
64,1266
21,1588
126,1007
130,1602
74,1408
73,1251
61,1644
144,362
87,1527
49,165
81,1628
38,1550
118,1189
60,731
67,933
43,785
121,426
146,1047
13,1202
39,640
126,454
81,1458
127,1241
119,1017
132,412
74,154
89,1167
71,1192
63,684
109,514
28,537
54,955
56,962
123,597
14,631
3,310
90,1036
123,404
76,808
44,1400
31,547
80,335
15,428
28,1176
97,246
2,937
48,1221
84,1529
129,163
129,1550
78,197
102,913
22,1315
93,605
49,661
123,1177
109,1232
114,1220
11,1113
134,169
117,1259
34,627
36,1084
78,1384
147,1174
110,1041
137,556
64,286
44,1599
32,1318
10,487
103,702
126,1049
47,613
32,279
109,690
144,617
4,1528
42,1209
118,848
135,1077
64,1178
2,1585
122,1143
139,1263
24,1225
59,1114
100,1481
130,513
101,1448
131,1319
99,1161
111,1064
37,589
133,1280
40,254
5,947
27,1357
55,1207
102,1587
33,548
35,679
94,634
94,474
88,779
96,386
146,1181
142,728
113,1309
90,1112
50,479
107,940
136,638
149,356
54,1510
86,1372
74,1017
57,915
94,876
104,393
76,1631
41,1401
95,522
125,1403
83,1521
104,1236
145,1543
84,903
5,310
141,1028
65,674
136,894
39,234
43,1023
131,254
143,1328
105,1009
78,236
134,928
14,1149
57,1457
118,1648
101,1584
99,296
89,872
95,984
108,826
39,943
120,728
26,1528
48,1284
20,276
42,1379
97,632
108,438
113,1029
87,1264
149,931
123,415
29,710
49,175
22,1267
15,1375
125,671
122,774
59,1139
100,507
138,328
119,698
96,1647
16,510
145,411
41,760
140,1402
67,392
92,1645
39,1173
144,1378
29,1377
103,1094
42,1579
15,464
18,309
4,933
62,1390
42,1166
111,605
70,936
113,1004
66,881
127,889
88,452
15,1381
14,1154
19,1364
32,1524
47,452
54,481
125,1310
109,785
104,440
96,1243
57,446
64,792
74,662
105,668
15,860
137,1570
126,151
16,1033
147,1297
49,259
134,809
93,613
68,1027
72,882
96,1412
131,892
37,793
130,1581
1,1283
75,168
21,1399
129,196
63,723
93,644
140,1180
26,1627
102,1533
94,329
24,1084
109,983
16,532
60,153
57,1444
121,1487
60,1485
88,1043
126,276
125,620
36,904
77,883
44,610
58,1520
103,765
24,1334
23,1463
16,764
75,1255
34,1517
29,161
69,1103
94,467
75,287
76,559
102,1310
149,1211
118,551
105,1351
58,535
141,1326
93,375
25,1165
9,1314
30,402
84,914
99,954
74,1238
26,1336
46,735
96,1517
98,825
55,871
63,1041
110,1335
80,870
32,1011
101,987
17,1577
15,240
104,507
68,486
117,1424
59,1065
22,372
85,651
129,814
145,721
80,1486
81,1234
72,1543
116,659
93,385
114,1561
102,1071
18,1149
87,201
7,393
43,332
33,607
89,1491
69,1617
61,491
122,506
127,1111
71,1275
135,1583
127,931
83,588
84,737
32,1277
117,656
58,502
13,662
126,906
53,1333
126,1226
144,1003
118,1267
144,1237
126,291
134,984
102,877
3,446
72,609
100,1438
49,1208
129,626
40,1310
12,584
123,568
113,236
76,1161
113,1137
117,581
70,1067
74,757
123,529
58,1317
120,1459
17,868
98,408
4,1434
91,1233
146,683
74,1302
51,451
115,611
32,1468
38,441
18,541
66,380
83,1329
69,504
61,1255
108,564
50,516
19,1487
119,1405
67,1565
26,792
28,1318
6,721
83,915
145,754
72,1503
36,1525
61,1180
41,1204
19,317
77,321
21,603
127,819
96,729
35,1465
126,1324
8,256
134,447
40,589
45,1533
4,756
109,246
115,1140
139,546
92,621
95,1319
59,432
7,1532
43,1360
136,1006
97,1254
77,950
71,458
121,993
37,1271
130,1362
96,901
117,289
22,152
130,363
105,1524
7,730
120,623
42,860
76,723
92,1505
54,997
56,1388
2,399
45,238
125,1413
97,1283
84,1550
101,1440
10,1605
46,1408
110,212
96,312
34,1397
12,742
107,383
95,358
1,1530
82,1380
119,220
101,826
48,1049
43,1035
35,1228
149,704
128,1312
108,450
142,1539
23,1528
84,1517
9,186
105,1602
132,1214
37,1427
79,762
95,507
47,692
144,193
18,1262
2,1089
32,1378
60,1071
125,591
49,1628
113,844
139,590
109,411
71,1001
33,657
90,647
2,1375
137,1105
105,648
30,1320
143,560
20,1262
98,364
11,1376
49,670
114,274
79,770
63,317
62,1234
140,1615
70,599
71,607
27,1525
41,748
142,838
49,785
123,564
14,950
110,496
122,622
17,333
40,582
34,1069
107,1409
40,1285
136,962
27,1217
149,799
115,245
35,1133
71,1382
9,1113
87,1467
90,316
88,759
122,183
104,1287
65,318
123,1425
61,733
93,1011
75,835
55,323
143,1459
55,654
47,289
149,562
124,1361
6,315
133,597
145,1113
113,1436
37,1616
94,275
120,1347
93,404
18,249
30,553
108,766
20,1452
57,352
123,1323
131,1017
98,848
137,624
149,318
110,279
105,322
143,1137
140,750
114,677
70,1570
135,674
103,1469
141,1327
51,856
146,1067
10,685
67,512
64,225
148,791
9,267
97,1442
130,902
79,972
42,1423
87,881
122,929
147,1027
55,368
79,1392
29,1077
118,896
119,1247
129,910
29,1354
106,1249
53,640
102,1292
119,1431
64,1106
15,1192
4,1321
125,724
76,1237
138,1254
49,572
56,1593
18,1564
77,1381
128,1628
84,278
27,447
17,1037
90,1476
147,747
88,428
4,1230
51,1376
117,161
31,768
141,1377
96,1400
134,1400
124,1538
125,1410
93,1220
12,1264
13,343
106,253
115,814
97,160
22,167
62,212
52,1506
116,575
41,1092
25,1220
1,1383
123,504
77,721
134,500
144,808
35,307
1,1581
118,1014
111,1422
31,315
89,1015
81,1031
8,951
104,1496
135,657
101,1072
48,526
19,1266
15,1235
129,682
34,246
32,937
69,1369
109,1334
126,711
65,701
30,1631
23,768
9,1168
98,1290
11,1071
96,1159
86,935
72,993
143,1338
123,662
126,1443
37,576
98,725
89,955
47,633
63,863
15,399
51,1513
82,797
35,1127
127,1408
130,947
55,773
6,892
33,326
23,776
49,1315
34,603
17,1647
85,529
16,865
38,501
94,1234
122,182
50,449
115,190
60,517
85,370
8,1051
109,1199
77,402
98,1338
12,729
29,209
57,1301
23,181
12,816
29,1267
111,1167
108,227
109,1175
42,1108
59,1477
84,986
1,501
36,1063
107,847
130,724
64,1633
82,1012
30,1607
149,1086
71,1007
14,740
59,1025
91,182
57,156
97,560
78,208
101,494
149,539
56,959
31,657
24,1586
128,196
97,284
24,651
116,864
100,297
73,471
29,1620
144,1132
44,1406
52,1469
82,626
116,1326
44,1261
102,570
40,1181
86,157
134,329
143,1212
54,1564
74,1482
73,1242
56,378
1,1335
119,1578
102,1515
110,877
78,892
9,603
142,1190
53,851
148,259
