Left,Right
141,564
135,672
89,1637
58,679
137,801
24,821
62,236
107,336
88,467
140,1496
82,657
10,863
106,931
86,334
34,1625
46,291
28,1244
106,957
71,1115
47,841
82,732
111,930
125,855
43,622
141,1117
2,360
32,1383
81,406
84,1423
70,748
135,633
43,325
65,1384
124,850
120,884
92,1615
83,1625
71,1090
25,732
51,687
59,1514
57,808
58,1039
97,1266
101,1122
90,801
27,287
139,1538
101,315
44,1104
105,1281
129,967
35,1592
25,475
62,1207
141,1100
94,652
17,706
12,1356
32,275
117,459
41,830
20,989
67,1135
145,1273
110,577
47,610
139,1576
4,1510
118,1479
124,808
14,786
98,481
100,547
20,1637
115,354
91,1438
37,200
59,1456
127,953
97,1059
76,487
23,1130
36,1326
44,1643
102,657
3,519
96,288
67,525
18,1197
39,1500
148,273
128,1483
147,602
138,406
105,1462
55,1340
10,827
41,1146
141,1019
24,525
37,928
16,265
120,678
141,1017
92,1100
94,1556
95,1561
46,469
96,1129
69,170
52,629
129,1242
91,1283
92,1604
111,447
91,710
131,428
71,1221
63,388
122,496
81,1609
142,1270
95,1302
97,414
85,1148
61,577
105,1214
1,1485
3,318
54,1120
22,263
63,1196
131,1513
57,1442
130,614
1,810
34,385
133,1330
34,337
30,855
92,1448
107,767
116,781
124,1006
135,1607
15,754
59,803
36,275
32,1532
9,386
58,1292
37,1049
147,1581
1,842
91,243
3,500
16,161
114,1512
90,1304
50,602
24,408
87,891
110,782
3,817
55,368
17,853
103,562
149,362
47,663
46,1497
111,546
84,1319
46,1510
68,622
147,359
32,1050
58,1390
57,1084
62,1293
127,892
22,1501
109,691
95,1183
148,1389
106,1438
123,1360
51,930
89,730
124,235
147,896
12,1515
87,518
125,1052
130,1340
79,1348
46,1540
40,942
101,1121
140,1196
84,1535
20,1508
50,1216
109,1390
114,257
41,948
87,1022
79,1079
98,1436
95,1544
145,895
97,563
64,1078
5,1216
76,262
11,581
9,1007
51,1170
34,662
67,728
41,1315
38,441
131,466
75,1281
80,239
46,659
69,237
99,904
120,997
127,366
97,1633
90,1033
127,339
113,1148
149,599
41,1622
103,1307
72,306
69,1507
129,191
35,1137
54,858
69,843
63,450
62,1336
31,478
129,1533
79,913
29,1048
18,262
102,218
96,1649
5,429
21,694
121,245
77,461
86,1254
58,778
131,825
111,1114
87,537
137,1407
146,200
25,564
7,185
61,339
37,1317
110,417
119,1254
35,197
76,1265
140,362
112,1358
84,1157
11,1595
84,465
64,1561
35,164
11,1147
24,383
61,613
112,307
73,972
27,203
28,1377
40,358
24,490
100,608
137,387
138,1066
32,420
39,874
23,959
123,206
79,841
146,211
33,463
122,983
123,1433
94,472
125,632
133,691
127,984
125,1283
103,168
68,397
65,1340
98,1129
20,1183
132,239
74,557
78,1609
92,612
6,1096
91,253
13,1315
135,757
91,1216
10,727
89,1349
93,989
62,1403
31,216
46,212
81,839
143,922
108,523
127,1566
106,1223
131,1043
78,275
146,680
100,1422
32,553
40,1199
143,1547
136,1218
4,350
145,593
123,1642
91,970
120,1225
8,210
77,390
17,751
115,586
60,859
73,1604
59,744
138,1066
130,1490
32,705
16,204
121,616
82,327
8,1575
120,1566
105,1146
66,845
103,1213
7,1511
61,1078
144,737
136,1036
90,437
62,674
135,1100
24,1091
6,1601
33,772
9,717
31,1636
42,342
118,1206
62,1398
115,821
14,1042
16,715
14,1273
25,1279
107,445
60,319
106,1280
123,1447
4,373
1,1076
102,1234
127,1289
116,216
83,1340
71,1439
143,382
96,462
88,1589
9,1007
59,1215
59,246
86,394
12,565
83,187
28,452
10,1270
36,181
111,1510
74,283
141,1468
70,358
52,531
77,768
122,1151
79,348
17,960
80,904
143,1164
135,825
44,169
2,1533
128,1433
75,636
3,208
17,511
136,400
43,191
69,622
63,1482
103,752
54,1531
108,910
101,1469
77,193
118,167
87,516
107,1213
56,804
119,643
105,1223
149,367
47,640
33,1169
41,1433
57,441
136,321
134,210
87,288
1,1332
97,1545
131,450
1,1192
132,356
75,314
137,1548
131,735
19,1433
138,457
110,690
105,1554
47,242
115,224
65,1090
39,425
69,746
11,528
94,1401
98,1043
16,170
2,332
138,946
32,1324
123,1075
132,1195
17,1209
6,1191
76,1266
127,235
74,1465
83,1441
92,1053
100,644
32,1576
62,1246
142,809
67,1502
134,426
26,295
64,1042
76,415
50,1603
147,595
127,1066
141,1075
95,1023
45,169
127,1273
77,1026
146,932
66,221
138,1263
63,1192
28,1494
63,809
26,864
45,884
89,391
140,587
57,905
58,326
76,1377
129,282
40,1339
60,1410
67,1546
84,501
36,1033
69,899
73,1392
5,1412
100,1232
51,1084
62,576
58,604
90,902
114,490
144,1442
112,784
29,1396
48,412
86,295
32,1259
148,1394
4,1020
117,1473
56,299
96,783
67,391
77,256
82,905
49,744
19,665
73,579
41,1634
110,725
92,501
66,1069
87,965
20,859
58,1580
24,1181
146,846
42,1373
83,693
33,573
61,416
62,200
23,1075
53,638
33,196
149,765
77,911
20,1297
51,1391
121,947
18,684
57,1280
27,1618
52,907
111,928
136,655
142,748
22,218
5,341
15,1434
76,1381
102,885
33,1398
3,170
93,881
117,607
39,735
26,987
84,990
133,1288
29,1578
108,1347
64,1093
66,1224
71,795
34,815
94,1331
116,668
23,1505
126,1306
45,1629
76,458
84,977
76,243
38,496
72,670
61,710
102,928
9,546
75,191
103,700
114,1528
4,294
31,1559
97,724
109,955
45,555
36,855
73,408
58,1071
11,1101
2,1460
87,1037
63,972
46,819
38,314
120,1618
86,925
50,232
53,1409
99,884
57,479
148,453
130,555
60,1469
83,515
15,765
126,1268
80,967
2,1150
105,839
