t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1540364430,0,0.000000,0.000000,0.000000,0.000000,events/second
1540364610,0,0.000000,0.000000,0.000000,0.000000,events/second
1540364903,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365083,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365263,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365443,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365623,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365803,0,0.000000,0.000000,0.000000,0.000000,events/second
1540365983,0,0.000000,0.000000,0.000000,0.000000,events/second
1540366163,0,0.000000,0.000000,0.000000,0.000000,events/second
1540366343,0,0.000000,0.000000,0.000000,0.000000,events/second
1540366523,0,0.000000,0.000000,0.000000,0.000000,events/second
1540366703,0,0.000000,0.000000,0.000000,0.000000,events/second
1540366883,0,0.000000,0.000000,0.000000,0.000000,events/second
1540367063,0,0.000000,0.000000,0.000000,0.000000,events/second
1540369602,0,0.000000,0.000000,0.000000,0.000000,events/second
1540370766,0,0.000000,0.000000,0.000000,0.000000,events/second
1540370946,0,0.000000,0.000000,0.000000,0.000000,events/second
1540371126,0,0.000000,0.000000,0.000000,0.000000,events/second
1540371306,0,0.000000,0.000000,0.000000,0.000000,events/second
1540371486,0,0.000000,0.000000,0.000000,0.000000,events/second
1540371666,0,0.000000,0.000000,0.000000,0.000000,events/second
1540371846,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372026,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372206,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372386,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372566,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372746,0,0.000000,0.000000,0.000000,0.000000,events/second
1540372926,0,0.000000,0.000000,0.000000,0.000000,events/second
1540373106,0,0.000000,0.000000,0.000000,0.000000,events/second
1540373286,0,0.000000,0.000000,0.000000,0.000000,events/second
1540373466,0,0.000000,0.000000,0.000000,0.000000,events/second
1540373646,0,0.000000,0.000000,0.000000,0.000000,events/second
1540373826,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374006,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374186,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374366,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374546,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374726,0,0.000000,0.000000,0.000000,0.000000,events/second
1540374906,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375086,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375266,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375446,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375626,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375806,0,0.000000,0.000000,0.000000,0.000000,events/second
1540375986,0,0.000000,0.000000,0.000000,0.000000,events/second
1540376166,0,0.000000,0.000000,0.000000,0.000000,events/second
1540376346,0,0.000000,0.000000,0.000000,0.000000,events/second
1540376526,0,0.000000,0.000000,0.000000,0.000000,events/second
1540376706,0,0.000000,0.000000,0.000000,0.000000,events/second
1540376886,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377066,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377246,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377426,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377606,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377786,0,0.000000,0.000000,0.000000,0.000000,events/second
1540377966,0,0.000000,0.000000,0.000000,0.000000,events/second
1540378146,0,0.000000,0.000000,0.000000,0.000000,events/second
1540378326,0,0.000000,0.000000,0.000000,0.000000,events/second
1540382137,0,0.000000,0.000000,0.000000,0.000000,events/second
1540382317,0,0.000000,0.000000,0.000000,0.000000,events/second
1540382497,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445077,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445257,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445437,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445617,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445797,0,0.000000,0.000000,0.000000,0.000000,events/second
1540445977,0,0.000000,0.000000,0.000000,0.000000,events/second
1540446157,0,0.000000,0.000000,0.000000,0.000000,events/second
1540446337,0,0.000000,0.000000,0.000000,0.000000,events/second
1540446517,0,0.000000,0.000000,0.000000,0.000000,events/second
1540447005,0,0.000000,0.000000,0.000000,0.000000,events/second
1540447470,0,0.000000,0.000000,0.000000,0.000000,events/second
1540447794,0,0.000000,0.000000,0.000000,0.000000,events/second
1540447974,0,0.000000,0.000000,0.000000,0.000000,events/second
1540448154,0,0.000000,0.000000,0.000000,0.000000,events/second
1540450014,0,0.000000,0.000000,0.000000,0.000000,events/second
1540450194,0,0.000000,0.000000,0.000000,0.000000,events/second
1540450733,0,0.000000,0.000000,0.000000,0.000000,events/second
1540450913,0,0.000000,0.000000,0.000000,0.000000,events/second
1540451093,0,0.000000,0.000000,0.000000,0.000000,events/second
1540451513,0,0.000000,0.000000,0.000000,0.000000,events/second
1540451693,0,0.000000,0.000000,0.000000,0.000000,events/second
1540451873,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452053,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452233,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452413,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452593,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452773,0,0.000000,0.000000,0.000000,0.000000,events/second
1540452953,0,0.000000,0.000000,0.000000,0.000000,events/second
1540453133,0,0.000000,0.000000,0.000000,0.000000,events/second
1540453313,0,0.000000,0.000000,0.000000,0.000000,events/second
1540453493,0,0.000000,0.000000,0.000000,0.000000,events/second
1540453673,0,0.000000,0.000000,0.000000,0.000000,events/second
1540453853,0,0.000000,0.000000,0.000000,0.000000,events/second
1540454033,0,0.000000,0.000000,0.000000,0.000000,events/second
1540454213,0,0.000000,0.000000,0.000000,0.000000,events/second
1540454393,0,0.000000,0.000000,0.000000,0.000000,events/second
1540454573,0,0.000000,0.000000,0.000000,0.000000,events/second
1540454951,0,0.000000,0.000000,0.000000,0.000000,events/second
1540455131,0,0.000000,0.000000,0.000000,0.000000,events/second
1540458353,0,0.000000,0.000000,0.000000,0.000000,events/second
1540458533,0,0.000000,0.000000,0.000000,0.000000,events/second
1540458713,0,0.000000,0.000000,0.000000,0.000000,events/second
1540458893,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459073,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459255,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459435,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459615,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459795,0,0.000000,0.000000,0.000000,0.000000,events/second
1540459975,0,0.000000,0.000000,0.000000,0.000000,events/second
1540460155,0,0.000000,0.000000,0.000000,0.000000,events/second
1540460335,0,0.000000,0.000000,0.000000,0.000000,events/second
1540460515,0,0.000000,0.000000,0.000000,0.000000,events/second
1540460779,0,0.000000,0.000000,0.000000,0.000000,events/second
1540460959,0,0.000000,0.000000,0.000000,0.000000,events/second
1540461139,0,0.000000,0.000000,0.000000,0.000000,events/second
1540461369,0,0.000000,0.000000,0.000000,0.000000,events/second
1540461549,0,0.000000,0.000000,0.000000,0.000000,events/second
1540461729,0,0.000000,0.000000,0.000000,0.000000,events/second
1540462026,0,0.000000,0.000000,0.000000,0.000000,events/second
1540462206,0,0.000000,0.000000,0.000000,0.000000,events/second
1540462386,0,0.000000,0.000000,0.000000,0.000000,events/second
1540462807,0,0.000000,0.000000,0.000000,0.000000,events/second
1540462987,0,0.000000,0.000000,0.000000,0.000000,events/second
1540463167,0,0.000000,0.000000,0.000000,0.000000,events/second
1540463347,0,0.000000,0.000000,0.000000,0.000000,events/second
1540463527,0,0.000000,0.000000,0.000000,0.000000,events/second
1540463707,0,0.000000,0.000000,0.000000,0.000000,events/second
