t,value
1540450733,5.190228765E8
1540450913,5.190228765E8
1540451093,5.190228765E8
1540451513,7.766029995E8
1540451693,7.766029995E8
1540451873,7.766029995E8
1540452053,7.766029995E8
1540452233,7.766029995E8
1540452413,7.766029995E8
1540452593,7.766029995E8
1540452773,7.766029995E8
1540452953,7.766029995E8
1540453133,7.766029995E8
1540453313,7.766029995E8
1540453493,7.766029995E8
1540453673,7.766029995E8
1540453853,7.766029995E8
1540454033,7.766029995E8
1540454213,7.766029995E8
1540454393,7.766029995E8
1540454573,7.766029995E8
1540454951,7.766029995E8
1540455131,7.766029995E8
1540458353,7.766029995E8
1540458533,7.766029995E8
1540458713,7.766029995E8
1540458893,7.766029995E8
1540459073,7.766029995E8
1540459255,7.766029995E8
1540459435,7.766029995E8
1540459615,7.766029995E8
1540459795,7.766029995E8
1540459975,7.766029995E8
1540460155,7.766029995E8
1540460335,7.766029995E8
1540460515,7.766029995E8
1540462807,4.92653316E8
1540462987,4.92653316E8
1540463167,4.92653316E8
1540463347,4.92653316E8
1540463527,4.92653316E8
1540463707,4.92653316E8
1540464002,4.92653316E8
1540464182,4.92653316E8
1540469307,4.92653316E8
1540469487,4.92653316E8
1540469667,4.92653316E8
1540469847,4.92653316E8
1540470027,4.92653316E8
1540470207,4.92653316E8
1540470387,4.92653316E8
1540470567,4.92653316E8
1540481547,4.92653316E8
1540481785,4.92653316E8
1540481965,4.92653316E8
1540482156,4.92653316E8
1540482336,4.92653316E8
1540482516,4.92653316E8
1540485994,4.92653316E8
1540486400,4.92653316E8
1540486580,4.92653316E8
1540486760,4.92653316E8
1540493054,4.92653316E8
1540493234,4.92653316E8
1540493414,4.92653316E8
1540493594,4.92653316E8
1540493774,4.92653316E8
1540494346,4.92653316E8
1540494526,4.92653316E8
1540494706,4.92653316E8
1540494886,4.92653316E8
1540495066,4.92653316E8
1540495246,4.92653316E8
1540495426,4.92653316E8
1540495606,4.92653316E8
1540529694,4.92653316E8
1540529874,4.92653316E8
1540530054,4.92653316E8
1540530234,4.92653316E8
1540530414,4.92653316E8
1540530594,4.92653316E8
1540530774,4.92653316E8
1540530954,4.92653316E8
1540531134,4.92653316E8
1540531467,4.92653316E8
1540531647,4.92653316E8
1540531827,4.92653316E8
1540532007,4.92653316E8
1540532187,4.92653316E8
1540532367,4.92653316E8
1540533739,4.92653316E8
1540533919,4.92653316E8
1540534099,4.92653316E8
1540534279,4.92653316E8
1540534459,1.54841218E8
1540534639,1.54841218E8
1540534819,1.54841218E8
1540535000,1.54841218E8
1540535180,1.54841218E8
1540535360,1.54841218E8
1540535540,1.54841218E8
1540535720,1.54841218E8
1540535900,1.54841218E8
1540536080,1.54841218E8
1540536260,1.54841218E8
1540536440,1.2748362077777778E8
