t,value
1540450733,0
1540450913,0
1540451093,0
1540451513,0
1540451693,0
1540451873,0
1540452053,0
1540452233,0
1540452413,0
1540452593,0
1540452773,0
1540452953,0
1540453133,0
1540453313,0
1540453493,0
1540453673,0
1540453853,0
1540454033,0
1540454213,0
1540454393,0
1540454573,0
1540454951,0
1540455131,0
1540458353,0
1540458533,0
1540458713,0
1540458893,0
1540459073,0
1540459255,0
1540459435,0
1540459615,0
1540459795,0
1540459975,0
1540460155,0
1540460335,0
1540460515,0
1540462807,0
1540462987,0
1540463167,0
1540463347,0
1540463527,0
1540463707,0
1540464002,0
1540464182,0
1540469307,0
1540469487,0
1540469667,0
1540469847,0
1540470027,0
1540470207,0
1540470387,0
1540470567,0
1540481547,0
1540481785,0
1540481965,0
1540482156,0
1540482336,0
1540482516,0
1540485994,0
1540486400,0
1540486580,0
1540486760,0
1540493054,0
1540493234,0
1540493414,0
1540493594,0
1540493774,0
1540494346,0
1540494526,0
1540494706,0
1540494886,0
1540495066,0
1540495246,0
1540495426,0
1540495606,0
1540529694,0
1540529874,0
1540530054,0
1540530234,0
1540530414,0
1540530594,0
1540530774,0
1540530954,0
1540531134,0
1540531467,0
1540531647,0
1540531827,0
1540532007,0
1540532187,0
1540532367,0
1540533739,0
1540533919,0
1540534099,0
1540534279,0
1540534459,0
1540534639,0
1540534819,0
1540535000,0
1540535180,0
1540535360,0
1540535540,0
1540535720,0
1540535900,0
1540536080,0
1540536260,0
1540536440,1
1540536620,1
1540536800,1
1540536980,1
1540547724,0
1540547904,0
1540548084,1
1540548264,1
1540574625,1
1540574805,1
1540574985,1
1540575165,1
1540575345,1
1540575525,1
1540575705,1
1540575885,1
1540576065,1
1540576245,1
1540576425,1
1540576605,1
1540576785,1
1540640843,1
1540749614,1
1540749794,1
1540749974,1
1540750154,1
1540750334,1
1540750514,1
1540750694,1
1540750874,1
1540751054,1
1540751234,1
1540751414,1
1540751594,1
1540751774,1
1540751954,1
1540752134,1
1540752314,1
1540752494,1
1540752674,1
1540752854,1
1540753034,1
1540753214,1
1540753394,1
1540753574,1
1540753754,1
1540753934,1
1540754114,1
1540754294,1
1540754474,1
1540789951,1
1540790131,1
1540790311,1
1540790491,1
1540790671,1
1540795573,0
1540795753,0
1540795933,0
1540796113,0
1540796293,0
1540796473,0
1540796653,0
1540796833,0
1540797013,0
1540797193,0
1540797373,0
1540797884,3
1540798504,0
1540798875,0
1540799055,0
1540802341,0
1540803834,0
1540804131,0
1540804311,0
1540804491,0
1540804672,0
1540804852,1
1540805032,1
1540805212,1
1540805392,1
1540805572,2
1540805752,2
1540806161,2
1540806341,2
1540806521,2
1540806701,2
1540806881,2
1540807061,2
1540807241,2
1540807421,2
1540807601,2
1540807781,2
1540807961,2
1540808141,2
1540808321,2
1540808501,2
1540808681,2
1540808861,2
1540809041,2
1540809221,2
1540809401,2
1540809581,2
1540812933,2
1540813113,2
1540813293,2
1540813473,2
1540813653,2
1540814379,2
1540814559,2
1540814739,2
1540814924,2
1540815104,2
1540815284,2
1540815535,2
1540815956,2
1540816136,2
1540816727,2
1540816907,2
1540817087,2
1540817267,2
1540817447,2
1540817627,2
1540817810,2
1540817990,2
1540818170,2
1540818350,2
1540818530,2
1540818710,2
1540818904,2
1540819222,2
1540819935,2
1540820115,2
1540821271,2
1540821452,2
1540821632,2
1540821812,2
1540822751,2
1540826832,2
1540827012,2
1540828548,2
1540828728,2
1540839584,2
1540839764,2
1540839944,2
1540840124,2
1540840304,2
1540840484,2
1540840664,2
1540840844,2
1540841024,2
1540841204,2
1540841384,2
1540841564,2
1540841744,2
1540841924,2
1540842104,2
1540842284,2
1540842464,2
1540842644,2
1540842824,2
1540843004,2
1540843184,2
1540843364,2
1540843544,2
1540843724,2
1540843904,2
1540844084,2
1540844264,2
1540875136,2
1540875316,2
1540875496,2
1540875676,2
1540875856,2
1540876039,2
1540876219,2
1540876399,2
1540876579,2
1540876759,2
1540876939,2
1540877119,2
1540877299,2
1540877479,2
1540877659,2
1540877839,2
1540878019,2
1540878199,2
1540878379,2
1540878559,2
1540878739,2
1540878919,2
1540879099,2
1540879279,2
1540879459,2
1540881431,2
1540881611,2
1540881791,2
1540881971,2
1540882151,2
1540882331,2
1540882511,2
1540882691,2
1540882871,2
1540883051,2
1540883231,2
1540883411,2
1540883591,2
1540884209,2
1540884389,2
1540884569,2
1540884749,2
1540884929,2
1540888142,2
1540888322,2
1540888502,2
1540888682,2
1540888862,2
1540889042,2
1540889222,2
1540899352,0
1540899532,0
1540899712,0
1540899892,0
1540900072,0
1540900252,0
1540961874,0
1540962054,0
1540962234,0
1540962414,0
1540962594,0
1540962774,0
1540963650,0
1540963830,0
1540964010,0
1540964190,0
1540964370,0
1540964550,0
1540966366,0
1540966546,0
1540966726,0
1540966906,0
1540967086,0
1540967266,0
1540967446,0
1540967626,0
1540967806,0
1540967986,0
1540968166,0
1540968346,0
1540968526,0
1540968706,0
1540968886,0
1540969066,0
1540969246,0
1540969426,0
1540969606,0
1540969786,0
1540969966,0
1540970146,0
1540970326,0
