t,value
1540450733,2
1540450913,2
1540451093,2
1540451513,2
1540451693,2
1540451873,2
1540452053,2
1540452233,2
1540452413,2
1540452593,2
1540452773,2
1540452953,2
1540453133,2
1540453313,2
1540453493,2
1540453673,2
1540453853,2
1540454033,2
1540454213,2
1540454393,2
1540454573,2
1540454951,2
1540455131,2
1540458353,2
1540458533,2
1540458713,2
1540458893,2
1540459073,2
1540459255,2
1540459435,2
1540459615,2
1540459795,2
1540459975,2
1540460155,2
1540460335,2
1540460515,2
1540462807,2
1540462987,2
1540463167,2
1540463347,2
1540463527,2
1540463707,2
1540464002,2
1540464182,2
1540469307,2
1540469487,2
1540469667,2
1540469847,2
1540470027,2
1540470207,2
1540470387,2
1540470567,2
1540481547,2
1540481785,2
1540481965,2
1540482156,2
1540482336,2
1540482516,2
1540485994,2
1540486400,2
1540486580,2
1540486760,2
1540493054,2
1540493234,2
1540493414,2
1540493594,2
1540493774,2
1540494346,2
1540494526,2
1540494706,2
1540494886,2
1540495066,2
1540495246,2
1540495426,2
1540495606,2
1540529694,2
1540529874,2
1540530054,2
1540530234,2
1540530414,2
1540530594,2
1540530774,2
1540530954,2
1540531134,2
1540531467,2
1540531647,2
1540531827,2
1540532007,2
1540532187,2
1540532367,2
1540533739,2
1540533919,2
1540534099,2
1540534279,2
1540534459,7
1540534639,7
1540534819,7
1540535000,7
1540535180,7
1540535360,7
1540535540,7
1540535720,7
1540535900,7
1540536080,7
1540536260,7
1540536440,9
1540536620,9
1540536800,9
1540536980,9
1540547724,4
1540547904,4
1540548084,4
1540548264,4
1540574625,4
1540574805,4
1540574985,4
1540575165,4
1540575345,4
1540575525,4
1540575705,4
1540575885,4
1540576065,4
1540576245,4
1540576425,4
1540576605,4
1540576785,4
1540640843,4
1540749614,4
1540749794,4
1540749974,4
1540750154,4
1540750334,4
1540750514,4
1540750694,4
1540750874,4
1540751054,4
1540751234,4
1540751414,4
1540751594,4
1540751774,4
1540751954,4
1540752134,4
1540752314,4
1540752494,4
1540752674,4
1540752854,4
1540753034,4
1540753214,4
1540753394,4
1540753574,4
1540753754,4
1540753934,4
1540754114,4
1540754294,4
1540754474,4
1540789951,4
1540790131,4
1540790311,4
1540790491,4
1540790671,4
1540795573,4
1540795753,4
1540795933,4
1540796113,4
1540796293,4
1540796473,4
1540796653,4
1540796833,4
1540797013,4
1540797193,4
1540797373,4
1540797884,4
1540798504,3
1540798875,3
1540799055,3
1540802341,3
1540803834,3
1540804131,3
1540804311,3
1540804491,3
1540804672,3
1540804852,4
1540805032,4
1540805212,4
1540805392,4
1540805572,4
1540805752,4
1540806161,4
1540806341,4
1540806521,4
1540806701,4
1540806881,4
1540807061,4
1540807241,4
1540807421,4
1540807601,4
1540807781,4
1540807961,4
1540808141,4
1540808321,4
1540808501,4
1540808681,4
1540808861,4
1540809041,4
1540809221,4
1540809401,4
1540809581,4
1540812933,4
1540813113,4
1540813293,4
1540813473,4
1540813653,4
1540814379,4
1540814559,4
1540814739,4
1540814924,4
1540815104,4
1540815284,4
1540815535,4
1540815956,4
1540816136,4
1540816727,4
1540816907,4
1540817087,4
1540817267,4
1540817447,4
1540817627,4
1540817810,4
1540817990,4
1540818170,4
1540818350,4
1540818530,4
1540818710,4
1540818904,4
1540819222,4
1540819935,4
1540820115,4
1540821271,4
1540821452,4
1540821632,4
1540821812,4
1540822751,4
1540826832,4
1540827012,4
1540828548,4
1540828728,4
1540839584,4
1540839764,4
1540839944,4
1540840124,4
1540840304,4
1540840484,4
1540840664,4
1540840844,4
1540841024,4
1540841204,4
1540841384,4
1540841564,4
1540841744,4
1540841924,4
1540842104,4
1540842284,4
1540842464,4
1540842644,4
1540842824,4
1540843004,4
1540843184,4
1540843364,4
1540843544,4
1540843724,4
1540843904,4
1540844084,4
1540844264,4
1540875136,4
1540875316,4
1540875496,4
1540875676,4
1540875856,4
1540876039,4
1540876219,4
1540876399,4
1540876579,4
1540876759,4
1540876939,4
1540877119,4
1540877299,4
1540877479,4
1540877659,4
1540877839,4
1540878019,4
1540878199,4
1540878379,4
1540878559,4
1540878739,4
1540878919,4
1540879099,4
1540879279,4
1540879459,4
1540881431,4
1540881611,4
1540881791,4
1540881971,4
1540882151,4
1540882331,4
1540882511,4
1540882691,4
1540882871,4
1540883051,4
1540883231,4
1540883411,4
1540883591,4
1540884209,4
1540884389,4
1540884569,4
1540884749,4
1540884929,4
1540888142,4
1540888322,4
1540888502,4
1540888682,4
1540888862,4
1540889042,4
1540889222,4
1540899352,4
1540899532,4
1540899712,4
1540899892,4
1540900072,4
1540900252,4
1540961874,4
1540962054,4
1540962234,4
1540962414,4
1540962594,4
1540962774,4
1540963650,4
1540963830,4
1540964010,4
1540964190,4
1540964370,4
1540964550,4
1540966366,4
1540966546,4
1540966726,4
1540966906,4
1540967086,4
1540967266,4
1540967446,4
1540967626,4
1540967806,4
1540967986,4
1540968166,4
1540968346,4
1540968526,4
1540968706,4
1540968886,4
1540969066,4
1540969246,4
1540969426,4
1540969606,4
1540969786,4
1540969966,4
1540970146,4
1540970326,4
