t,value
1540450733,1038045753
1540450913,1038045753
1540451093,1038045753
1540451513,1553205999
1540451693,1553205999
1540451873,1553205999
1540452053,1553205999
1540452233,1553205999
1540452413,1553205999
1540452593,1553205999
1540452773,1553205999
1540452953,1553205999
1540453133,1553205999
1540453313,1553205999
1540453493,1553205999
1540453673,1553205999
1540453853,1553205999
1540454033,1553205999
1540454213,1553205999
1540454393,1553205999
1540454573,1553205999
1540454951,1553205999
1540455131,1553205999
1540458353,1553205999
1540458533,1553205999
1540458713,1553205999
1540458893,1553205999
1540459073,1553205999
1540459255,1553205999
1540459435,1553205999
1540459615,1553205999
1540459795,1553205999
1540459975,1553205999
1540460155,1553205999
1540460335,1553205999
1540460515,1553205999
1540462807,985306632
1540462987,985306632
1540463167,985306632
1540463347,985306632
1540463527,985306632
1540463707,985306632
1540464002,985306632
1540464182,985306632
1540469307,985306632
1540469487,985306632
1540469667,985306632
1540469847,985306632
1540470027,985306632
1540470207,985306632
1540470387,985306632
1540470567,985306632
1540481547,985306632
1540481785,985306632
1540481965,985306632
1540482156,985306632
1540482336,985306632
1540482516,985306632
1540485994,985306632
1540486400,985306632
1540486580,985306632
1540486760,985306632
1540493054,985306632
1540493234,985306632
1540493414,985306632
1540493594,985306632
1540493774,985306632
1540494346,985306632
1540494526,985306632
1540494706,985306632
1540494886,985306632
1540495066,985306632
1540495246,985306632
1540495426,985306632
1540495606,985306632
1540529694,985306632
1540529874,985306632
1540530054,985306632
1540530234,985306632
1540530414,985306632
1540530594,985306632
1540530774,985306632
1540530954,985306632
1540531134,985306632
1540531467,985306632
1540531647,985306632
1540531827,985306632
1540532007,985306632
1540532187,985306632
1540532367,985306632
1540533739,985306632
1540533919,985306632
1540534099,985306632
1540534279,985306632
1540534459,1083888526
1540534639,1083888526
1540534819,1083888526
1540535000,1083888526
1540535180,1083888526
1540535360,1083888526
1540535540,1083888526
1540535720,1083888526
1540535900,1083888526
1540536080,1083888526
1540536260,1083888526
