t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1540899352,0,0.000000,0.000000,0.000000,0.000000,events/second
1540899532,0,0.000000,0.000000,0.000000,0.000000,events/second
1540899712,0,0.000000,0.000000,0.000000,0.000000,events/second
1540899892,0,0.000000,0.000000,0.000000,0.000000,events/second
1540900072,0,0.000000,0.000000,0.000000,0.000000,events/second
1540900252,0,0.000000,0.000000,0.000000,0.000000,events/second
1540961874,0,0.000000,0.000000,0.000000,0.000000,events/second
1540962054,0,0.000000,0.000000,0.000000,0.000000,events/second
1540962234,0,0.000000,0.000000,0.000000,0.000000,events/second
1540962414,0,0.000000,0.000000,0.000000,0.000000,events/second
1540962594,0,0.000000,0.000000,0.000000,0.000000,events/second
1540962774,0,0.000000,0.000000,0.000000,0.000000,events/second
1540963650,0,0.000000,0.000000,0.000000,0.000000,events/second
1540963830,0,0.000000,0.000000,0.000000,0.000000,events/second
1540964010,0,0.000000,0.000000,0.000000,0.000000,events/second
1540964190,0,0.000000,0.000000,0.000000,0.000000,events/second
1540964370,0,0.000000,0.000000,0.000000,0.000000,events/second
1540964550,0,0.000000,0.000000,0.000000,0.000000,events/second
1540966366,0,0.000000,0.000000,0.000000,0.000000,events/second
1540966546,0,0.000000,0.000000,0.000000,0.000000,events/second
1540966726,0,0.000000,0.000000,0.000000,0.000000,events/second
1540966906,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967086,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967266,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967446,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967626,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967806,0,0.000000,0.000000,0.000000,0.000000,events/second
1540967986,0,0.000000,0.000000,0.000000,0.000000,events/second
1540968166,0,0.000000,0.000000,0.000000,0.000000,events/second
1540968346,0,0.000000,0.000000,0.000000,0.000000,events/second
1540968526,0,0.000000,0.000000,0.000000,0.000000,events/second
1540968706,0,0.000000,0.000000,0.000000,0.000000,events/second
1540968886,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969066,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969246,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969426,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969606,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969786,0,0.000000,0.000000,0.000000,0.000000,events/second
1540969966,0,0.000000,0.000000,0.000000,0.000000,events/second
1540970146,0,0.000000,0.000000,0.000000,0.000000,events/second
1540970326,0,0.000000,0.000000,0.000000,0.000000,events/second
