t,value
1540364430,0
1540364610,0
1540364903,0
1540365083,0
1540365263,0
1540365443,0
1540365623,0
1540365803,0
1540365983,0
1540366163,0
1540366343,0
1540366523,0
1540366703,0
1540366883,0
1540367063,0
1540369602,0
1540370766,0
1540370946,0
1540371126,0
1540371306,0
1540371486,0
1540371666,0
1540371846,0
1540372026,0
1540372206,0
1540372386,0
1540372566,0
1540372746,0
1540372926,0
1540373106,0
1540373286,0
1540373466,0
1540373646,0
1540373826,0
1540374006,0
1540374186,0
1540374366,0
1540374546,0
1540374726,0
1540374906,0
1540375086,0
1540375266,0
1540375446,0
1540375626,0
1540375806,0
1540375986,0
1540376166,0
1540376346,0
1540376526,0
1540376706,0
1540376886,0
1540377066,0
1540377246,0
1540377426,0
1540377606,0
1540377786,0
1540377966,0
1540378146,0
1540378326,0
1540382137,0
1540382317,0
1540382497,0
1540445077,0
1540445257,0
1540445437,0
1540445617,0
1540445797,0
1540445977,0
1540446157,0
1540446337,0
1540446517,0
1540447005,0
1540447470,0
1540447794,0
1540447974,0
1540448154,0
1540450014,0
1540450194,0
1540450733,0
1540450913,0
1540451093,0
1540451513,0
1540451693,0
1540451873,0
1540452053,0
1540452233,0
1540452413,0
1540452593,0
1540452773,0
1540452953,0
1540453133,0
1540453313,0
1540453493,0
1540453673,0
1540453853,0
1540454033,0
1540454213,0
1540454393,0
1540454573,0
1540454951,0
1540455131,0
1540458353,0
1540458533,0
1540458713,0
1540458893,0
1540459073,0
1540459255,0
1540459435,0
1540459615,0
1540459795,0
1540459975,0
1540460155,0
1540460335,0
1540460515,0
1540460779,0
1540460959,0
1540461139,0
1540461369,0
1540461549,0
1540461729,0
1540462026,0
1540462206,0
1540462386,0
1540462807,0
1540462987,0
1540463167,0
1540463347,0
1540463527,0
1540463707,0
1540464002,0
1540464182,0
1540469307,0
1540469487,0
1540469667,0
1540469847,0
1540470027,0
1540470207,0
1540470387,0
1540470567,0
1540481547,0
1540481785,0
1540481965,0
1540482156,0
1540482336,0
1540482516,0
1540485994,0
1540486400,0
1540486580,0
1540486760,0
1540493054,0
1540493234,0
1540493414,0
1540493594,0
1540493774,0
1540494346,0
1540494526,0
